code_bcm,name,status
4308110,Sarobaratra,ambigu
1411170,Soanierana,ambigu
5315033,Soanierana,ambigu
5106250,Soaserana,ambigu
5402070,Soaserana,ambigu
2120490,Soatanana,ambigu
1117330,Soavina,ambigu
1209130,Soavina,ambigu
2202070,Soavina,ambigu
2307130,Soavina,ambigu
5218210,Tanandava,ambigu
7212030,Tanandava,ambigu
4212110,Tsarahonenana,ambigu
1104150,Tsaramasoandro,ambigu
2306030,Tsaratanana,ambigu
4210070,Tsaratanana,ambigu
4308010,Tsaratanana,ambigu
3108030,Tsaravinany,ambigu
3317090,Tsaravinany,ambigu
1210310,Tsinjoarivo,ambigu
1411150,Tsinjoarivo,ambigu
1419052,Tsinjoarivo,ambigu
2120570,Vinanitelo,ambigu
2310292,Vinanitelo,ambigu
2307090,Vohilava,ambigu
2309230,Vohilava,ambigu
50910,VOHILENGO,ambigu
2513570,Vohilengo,ambigu
3205110,Vohilengo,ambigu
2517071,Vohimary,ambigu
2310190,Vohimasy,ambigu
2513030,Vohimasy,ambigu
3312151,Vohimena,ambigu
50911,VOHIPENO,ambigu
2312010,Vohipeno,ambigu
3205190,Vohipeno,ambigu
1305212,Alakamisy Ambohidehibe,introuvable
2203210,Alakamisy Ambohijato,introuvable
2120250,Alakamisy Ambohimaha,introuvable
2204210,Alakamisy Ambohimahazo,introuvable
1209070,Alakamisy Anativato,introuvable
1117312,Alakamisy Fenoarivo,introuvable
2120391,Alakamisy Itenina,introuvable
1209230,Alakamisy Marososona,introuvable
1210291,Alarobia Antanamalaza,introuvable
1209390,Alarobia Bemaha,introuvable
1115110,Alarobia Vatosola,introuvable
1117250,Alatsinain' Ambazaha,introuvable
1312250,Alatsinainikely,introuvable
1115070,Alatsinainy Bakaro,introuvable
2120350,Alatsinainy Ialamarina,introuvable
1218250,Alatsinainy Ibity,introuvable
5106370,Ambahitrimitsinjo,introuvable
51602,AMBAHOABE,introuvable
3218090,Ambahoabe,introuvable
4115092,Ambalabe Befanjava,introuvable
2309370,Ambalahosy Avaratra,introuvable
7212210,Ambalamanasy II,introuvable
2120590,Ambalamidera II,introuvable
3317052,Ambalanomby,introuvable
3109070,Ambalapaiso II,introuvable
5216031,Ambanisarika,introuvable
7119010,Ambanja CU,introuvable
4214270,Ambararata Nord,introuvable
4214290,Ambararata Sofia,introuvable
1411290,Ambararatabe (Bemahatazana),introuvable
4211012,Ambarijeby Sud,introuvable
4107092,Ambarimanenga,introuvable
4105019,Ambato Ambarimay,introuvable
7211450,Ambatoafo (Fir Beanantsindra),introuvable
1313210,Ambatoasana Afovoany,introuvable
3109110,Ambatofisaka II,introuvable
1419072,Ambatomainty Sud,introuvable
1305190,Ambatomanga Mahatsinjo,introuvable
1305170,Ambatomirahavavy,introuvable
3313010,Ambatondrazaka C.U,introuvable
3313033,Ambatondrazaka Suburbaine,introuvable
4214090,Ambatoriha Est,introuvable
1214150,Ambatotsipihina,introuvable
7118003,Ambatozavavy,introuvable
2310170,Amboanjo Ifaho,introuvable
1305250,Amboasary Antambolo,introuvable
5319010,Amboasary Atsimo,introuvable
4210490,Ambodiamontana Kianga,introuvable
3218050,Ambodiampana I,introuvable
51603,AMBODIAMPANA-I,introuvable
1210190,Ambodifarihy Fenomanana,introuvable
3202001,Ambodifotatra,introuvable
7212090,Ambodimanga I,introuvable
3205030,Ambodimanga II,introuvable
7119172,Ambodimanga Ramena,introuvable
3203230,Ambodimanga Rantabe,introuvable
51214,AMBODIMANGA RATABE,introuvable
3101001,Ambodimanga Toamasina I,introuvable
4212050,Ambodimotso Atsimo,introuvable
2307250,Ambodirian'Isahafary,introuvable
3109230,Ambodivoahangy,introuvable
1313190,Ambohibahoaka Ankisabe,introuvable
1106450,Ambohibao Nord,introuvable
1106430,Ambohibao Sud,introuvable
1102230,Ambohimalaza Miray,introuvable
2517090,Ambohimana,introuvable
1107130,Ambohimanarina Marovazaha,introuvable
3312170,Ambohimandroso I,introuvable
1305230,Ambohimandry,introuvable
2306130,Ambohimanga Atsimo,introuvable
1102319,Ambohimanga Rova,introuvable
2309190,Ambohimiarina II,introuvable
2203490,Ambohimitombo I,introuvable
2203570,Ambohimitombo II,introuvable
1104050,file:///home/bozelenina/Videos/commune.zip,introuvable
2309530,Ambohitsara Est,introuvable
2310130,Ambohitsara M,introuvable
4212170,Ambolidibe Atsinanana,introuvable
2203030,Ambositra II,introuvable
2223010,Ambovombe Afovoany,introuvable
1305070,Ampahimanga,introuvable
4213051,Ampandriankilandy,introuvable
7118002,Ampangorina,introuvable
5107010,Ampanihy Andrefana,introuvable
1313131,Amparaky Sarodrivotra,introuvable
1313250,Amparibohitra,introuvable
3313192,Amparihitsokatra,introuvable
2514331,Amparihy Atsinanana,introuvable
